Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
86	NCT04256551	Effects of a Novel Machine Learning Mobile App on Diet Adherence in Individuals Following the Low Fodmap Diet		Recruiting	No Results Available	IBS - Irritable Bowel Syndrome			Other: Heali mobile application + Registered Dietitian|Other: Heali mobile application|Other: Standard Dietary Education	Rome IV|IBS-SSS|Low FODMAP dietary adherence (LFDA)|Low FODMAP dietary knowledge (LFDK)	Arizona State University	All	"18 Years to 65 Years   (Adult, Older Adult)"	Not Applicable	120	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	FODMAP/APP	"January 23, 2020"	5-Mar-20	16-Apr-20	5-Feb-20		5-Feb-20	"Arizona State University, Phoenix, Arizona, United States"		https://ClinicalTrials.gov/show/NCT04256551
87	NCT04154228	Non-invasive Evaluation of Lymphoma Patients Based on Artificial Intelligence and PET/MRI		Not yet recruiting	No Results Available	Lymphoma|Non Hodgkin Lymphoma|Follicular Lymphoma			Diagnostic Test: PET/MR scan	Patients that preform 18F-FDG PET/MRI and the routinely PET/CT	Tel-Aviv Sourasky Medical Center	All	"18 Years to 120 Years   (Adult, Older Adult)"	Not Applicable	100	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	TASMC-19-ES-0556-CTIL	"December 10, 2019"	10-Jan-20	10-Dec-21	6-Nov-19		6-Nov-19			https://ClinicalTrials.gov/show/NCT04154228
88	NCT03882476	RCT of Sepsis Machine Learning Algorithm		Not yet recruiting	No Results Available	Sepsis|Severe Sepsis|Septic Shock			Diagnostic Test: InSight	In-hospital SIRS-based mortality	"Dascena|University of California, San Francisco"	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	51645	Industry|Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Diagnostic"	19-494662	"January 1, 2020"	28-Feb-21	28-Feb-21	20-Mar-19		25-Mar-19			https://ClinicalTrials.gov/show/NCT03882476
89	NCT03602989	A Multi-center Study on the Artificial Intelligence Enabled Diabetic Retinopathy Screening Based on Fundus Images		"Active, not recruiting"	No Results Available	Diabetic Retinopathy			Device: AI-enabled Diabetic Retinopathy Screening Software	Sensitivity and specificity	"Shenzhen SiBright Co., Ltd.|Zhongshan Ophthalmic Center, Sun Yat-sen University|Peking University People's Hospital|The Eye Hospital of Wenzhou Medical University"	All	"18 Years and older   (Adult, Older Adult)"		1000	Industry|Other	Observational	Observational Model: Case-Only|Time Perspective: Cross-Sectional	AIDRScreening	"July 5, 2018"	30-Nov-18	31-Aug-19	27-Jul-18		20-May-19	"Peking University People's Hospital, Beijing, Beijing, China|Zhongshan Ophthalmic Center, Guangzhou, Guangdong, China|The Eye Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT03602989
90	NCT04273477	Radiomics-based Artificial Intelligence System to Predict Neoadjuvant Treatment Response in Rectal Cancer	MRAI-pCR	Recruiting	No Results Available	Rectal Cancer				The prediction accuracy of the radiomics prediction model|The specificity of the radiomics prediction model|The sensitivity of the radiomics prediction model|The area under curve (AUC) of Receiver Operating Characteristic (ROC) curves of the radiomics prediction model	"Sixth Affiliated Hospital, Sun Yat-sen University|The Third Affiliated Hospital of Kunming Medical College.|Sir Run Run Shaw Hospital"	All	"18 Years to 75 Years   (Adult, Older Adult)"		100	Other	Observational	Observational Model: Other|Time Perspective: Prospective	MRILARC-pCR2020	"January 10, 2020"	20-Jul	20-Dec	18-Feb-20		18-Feb-20	"the Sixth Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China|The Third Affiliated Hospital of Kunming Medical College, Kunming, Yunnan, China|Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT04273477
91	NCT03487952	Evaluation of Lung Nodule Detection With Artificial Intelligence Assisted Computed Tomography in North China		Not yet recruiting	No Results Available	Solitary Pulmonary Nodule|Multiple Pulmonary Nodules			Other: Questionnaire Administration	Detection rate of lung nodule|Profile of detected lung nodule|Sensitivity in the detection of clinically actionable lung nodules|Growth of lung nodule|Anxiety and depression level|Life quality and health status|Lung cancer detection rate	Peking University People's Hospital|Lu'an Municipal Hospital|North China Petroleum Bureau General Hospital	All	"40 Years and older   (Adult, Older Adult)"		5000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	NCLUNG	"April 1, 2018"	21-Dec	21-Dec	4-Apr-18		4-Apr-18			https://ClinicalTrials.gov/show/NCT03487952
92	NCT04014010	Machine Learning Modeling of Intraoperative Hemodynamic Predictors of Postoperative Outcomes		Completed	No Results Available	"Perioperative/Postoperative Complications|Morbidity, Multiple|Surgery|Anesthesia|Death"			Other: Blood pressure|Other: Heart rate|Other: Use of hemodynamic medications (i.e. special medications for blood pressure)|Other: Oxygen saturation by pulse oximetry (SpO2)|Other: End-tidal Carbon dioxide (EtCO2)	Mortality|In-hospital Morbidity: Any|In-hospital Morbidity: Cardiac|In-hospital Morbidity: Respiratory|In-hospital Morbidity: Acute Kidney Injury|In-hospital Morbidity: Cerebrovascular|In-hospital Morbidity: Delirium|In-hospital Morbidity: Septic Shock|Postoperative ICU admission|Prolonged Postoperative Length of Stay (LOS)|Hospital readmission|Intraoperative mortality	Janny Xue Chen Ke|Dalhousie University|Harvard University|University of Toronto|University of Ottawa|Nova Scotia Health Authority	All	"45 Years and older   (Adult, Older Adult)"		35000	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	1024251	"January 1, 2013"	31-Dec-17	31-Dec-17	10-Jul-19		15-Jul-19		"Study Protocol and Statistical Analysis Plan, https://ClinicalTrials.gov/ProvidedDocs/10/NCT04014010/Prot_SAP_000.pdf"	https://ClinicalTrials.gov/show/NCT04014010
93	NCT03499145	Validation of the Utility of Ophthalmology Intelligent Diagnostic System		Completed	No Results Available	Ophthalmopathy|Artificial Intelligence			Device: Ophthalmology diagnostic system.	"The proportion of accurate, mistaken and miss detection of the ophthalmology diagnostic system."	"Sun Yat-sen University|Ministry of Health, China|Xidian University"	All	"Child, Adult, Older Adult"		615	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	CCPMOH2018-China-2	"April 1, 2018"	31-Aug-19	31-Aug-19	17-Apr-18		21-Oct-19	"Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT03499145
94	NCT04268719	Near Focus NBI-Driven Artificial Intelligence for the Diagnosis of Gastro-Oesophageal Reflux Disease		Completed	No Results Available	Gastro Esophageal Reflux			Diagnostic Test: wireless pH capsule recording	To evaluate Intra-Papillary Capillary Loop (IPCL) changes secondary to oesophageal acid exposure.|To develop an accurate and reliable artificial intelligence model for the diagnosis of Gastro-Oesophageal Reflux Disease (GORD)|To explore factors that may predict response to treatment.	King's College Hospital NHS Trust	All	"18 Years to 90 Years   (Adult, Older Adult)"		76	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	227223	"November 23, 2017"	26-Jul-18	30-Nov-18	13-Feb-20		13-Feb-20	"Shraddha Gulati, London, United Kingdom"		https://ClinicalTrials.gov/show/NCT04268719
95	NCT03724123	Machine Learning-Based Risk Profile Classification of Patients Undergoing Elective Heart Valve Surgery		Completed	No Results Available	Heart Valve Diseases|Surgery--Complications		Cardiovascular		Area under the curve for different prediction models	"Kepler University Hospital|Institute of Bioinformatics, JKU Linz"	All	"18 Years and older   (Adult, Older Adult)"		2229	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	K-82-15	"January 1, 2008"	31-Dec-14	31-Dec-14	30-Oct-18		30-Oct-18			https://ClinicalTrials.gov/show/NCT03724123
96	NCT03637712	Deep-Learning for Automatic Polyp Detection During Colonoscopy		Suspended	No Results Available	Screening Colonoscopy			Device: Computer Algorithm	Adenoma Detection Rate	NYU Langone Health	All	"18 Years to 99 Years   (Adult, Older Adult)"	Not Applicable	200	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	18-00746	"September 1, 2018"	19-Dec	19-Dec	20-Aug-18		6-May-19	"NYU Langone Health, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT03637712
97	NCT04132401	Artificial Intelligence for the Detection of Diabetic Retinopathy in Primary Care		Not yet recruiting	No Results Available	Diabetic Retinopathy			Diagnostic Test: algorithm	Sensitivity of the algorithm|Specificity of the algorithm|Accuracy of the algorithm|Area under the receiver operating characteristic curve of the algorithm	"Jordi Gol i Gurina Foundation|OPTretina|Institut Català de la Salut|Department of Health, Generalitat de Catalunya"	All	"Child, Adult, Older Adult"	Not Applicable	10	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility	P18/109	"January 2, 2020"	31-Dec-21	30-Jun-22	18-Oct-19		18-Oct-19			https://ClinicalTrials.gov/show/NCT04132401
98	NCT02934971	Optimized Multi-modality Machine Learning Approach During Cardio-toxic Chemotherapy to Predict Arising Heart Failure	MERMAID	Unknown status	No Results Available	Toxicity Due to Chemotherapy				"Change in LVEF from baseline to one year, as determined by MRI as gold standard according to random study group allocation"	"RWTH Aachen University|Technion, Israel Institute of Technology"	Female	"18 Years to 100 Years   (Adult, Older Adult)"		470	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	16-079	"January 1, 2017"	19-Jan	19-Jan	17-Oct-16		17-Oct-16	"Department of Cardiology, RWTH Aachen University Hospital, Aachen, Germany"		https://ClinicalTrials.gov/show/NCT02934971
99	NCT02805621	"Machine leArning Based CT angiograpHy derIved FFR: a Multi-ceNtEr, Registry"	Machine	Completed	No Results Available	Coronary Heart Disease|Coronary Artery Disease		Cardiovascular		"Diagnostic accuracy of local reduced order CFD and machine learning based CT angiography derived FFR, both validated against invasive FFR. Measured at both vessel and patient level.|Influence of calcium on diagnostic accuracy of CT angiography derived FFR.|Confidence intervals of CT angiography derived FFR|Direct vessel based comparison between CT angiography derived FFR and QCT stenosis measurements|Analysis of anatomically mild stenosis (<50% lumen diameter reduction) but functionally significant (invasive FFR ≤ 0.80)|Long term clinical outcome of CT angiography derived FFR"	"Erasmus Medical Center|Asan Medical Center|University Hospital, Linkoeping|Institute of Cardiology, Warsaw, Poland|Medical University of South Carolina|Siemens Healthcare Diagnostics Inc"	All	"18 Years and older   (Adult, Older Adult)"		352	Other|Industry	Observational	Observational Model: Cohort|Time Perspective: Retrospective	Machine	"April 1, 2016"	17-Jan	17-Jan	20-Jun-16		4-Jan-17	"ErasmusMC, Rotterdam, Zuid Holland, Netherlands"		https://ClinicalTrials.gov/show/NCT02805621
100	NCT04074772	Leveraging Machine Learning to Effortlessly Track Patient Movement in the Clinic.		Not yet recruiting	No Results Available	Movement Disorders				Successful Tracking Achieved in Clinic|Identification of Diseases by Movement Tracking	"University of Colorado, Denver"	All	"18 Years to 70 Years   (Adult, Older Adult)"		190	Other	Observational	Observational Model: Other|Time Perspective: Other	19-1250	"February 1, 2020"	21-Oct	21-Oct	30-Aug-19		18-Jan-20			https://ClinicalTrials.gov/show/NCT04074772
101	NCT03731936	Artificial Intelligence to Assess the Association Between Facial Characteristics and Coronary Artery Diseases		Completed	No Results Available	Coronary Artery Disease		Cardiovascular	Other: No intervention	Sensitivity of diagnostic model|Specificity of diagnostic model|Positive predictive value (PPV)|Negative predictive value (NPV)|Diagnostic accuracy rate	China National Center for Cardiovascular Diseases	All	"18 Years and older   (Adult, Older Adult)"		6864	Other	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	20181104-2017-907	"July 10, 2017"	2-Aug-19	2-Aug-19	6-Nov-18		20-Aug-19	"Beijing Anzhen hospital, Beijing, Beijing, China|Fuwai hospital, Beijing, Beijing, China|Guanganmen Hospital, Chinese Academy of Traditional Chinese Medicine, Beijing, Beijing, China|Wuhan union hospital, Wuhan, Hubei, China|Xuzhou third people's hospital, Xuzhou, Jiangsu, China|The first affiliated hospital of Dalian medical university, Dalian, Liangning, China|Shanghai East hospital, Shanghai, Shanghai, China|Shanghai Renji hospital, Shanghai, Shanghai, China|The fisrt affiliated hospital of Wenzhou medical university, Wenzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT03731936
102	NCT03849040	The Use of Artificial Intelligence to Predict Cancerous Lymph Nodes for Lung Cancer Staging During Ultrasound Imaging		Recruiting	No Results Available	Lung Diseases|Lung Neoplasm			Procedure: Endobronchial Ultrasound	Development of computer algorithm to identify lymph node ultrasonographic features|Validation of computer algorithm to identify lymph node ultrasonographic features|Accuracy and reliability of the segmentation performed by NeuralSeg|NeuralSeg prediction of lymph node malignancy	St. Joseph's Healthcare Hamilton	All	"18 Years and older   (Adult, Older Adult)"		33	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	StJoes EBUS AI (5636)	"April 8, 2019"	20-Mar	20-Jul	21-Feb-19		1-Jul-19	"St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT03849040
103	NCT03759756	Artificial Intelligence for Early Diagnosis of Esophageal Squamous Cell Carcinoma		Completed	No Results Available	Artificial Intelligence|Optical Enhancement Endoscopy|Magnifying Endoscopy			Other: AI presentation|Other: no AI presentation	the diagnosis efficiency of the AI model	Shandong University	All	"18 Years and older   (Adult, Older Adult)"		119	Other	Observational	Observational Model: Other|Time Perspective: Retrospective	2018SDU-QILU-2	"October 1, 2018"	1-Oct-19	1-Nov-19	30-Nov-18		18-Nov-19	"Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT03759756
104	NCT04239638	Analysis of Cervical Spinal MRI With Deep Learning		Recruiting	No Results Available	Cervical Disc Disease|Cervical Spine Disease			Diagnostic Test: Cervical Spinal MRI	Accuracy rate of the model as assessed by cross validation of the data set|Reliability of the model as assessed by comparing the reports of the model and radiologist.	Bezmialem Vakif University	All	"18 Years to 75 Years   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	54022451	"January 15, 2020"	1-Oct-20	1-Apr-21	27-Jan-20		29-Jan-20	"Bezmialem Vakif University Hospital, Istanbul, Turkey"		https://ClinicalTrials.gov/show/NCT04239638
105	NCT04193475	Machine Learning in Quantitative Stress Echocardiography	MLQSE	Recruiting	No Results Available	Cardiovascular Diseases|Ischaemic Heart Disease		Cardiovascular	Other: Analysis	Inducible myocardial ischaemia|Workload|Velocity|Strain rate|Strain	Hull University Teaching Hospitals NHS Trust|Barts & The London NHS Trust|Cardiff and Vale University Health Board	All	"20 Years to 89 Years   (Adult, Older Adult)"		1250	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	R2458	"November 22, 2019"	21-May	23-Jun	10-Dec-19		5-Feb-20	"Castle Hill Hospital, Cottingham, United Kingdom"		https://ClinicalTrials.gov/show/NCT04193475
106	NCT03887598	Application of Ultrasound Artificial Intelligence and Elastography in Differential Diagnosis of Breast Nodules		Recruiting	No Results Available	Breast Cancer			Device: Ultrasound diagnosis	Benign or malignant lesions as determined by pathology|Elastic ratio	"Xin-Wu Cui|Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Taizhou Hospital|Wuhan Hospital of Traditional Chinese and Western Medicine|Macheng People's Hospital|Huangshi Central Hospital|Affiliated Hospital of Jiangsu University|The First People's Hospital of Yichang|The Second People's Hospital of Yichang|Xiangyang Central Hospital|the Second Affiliated Hospital of Anhui Medical University|Anqing People's Hospital|Huainan People's Hospital|Wenzhou Central Hospital|Xuzhou First People's Hospital|The Central Hospital of Lishui City|Huai'an First People's Hospital|WISCO General Hospital|First People's Hospital of Jiangxia District, Wuhan City|Enshi State Central Hospital|Lianyungang Third People's Hospital|Xiangyang First People's Hospital|Tongji Hospital"	Female	"18 Years and older   (Adult, Older Adult)"		2000	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	2019(S073)	"January 18, 2019"	18-Jan-20	18-Feb-20	25-Mar-19		26-Mar-19	"Xin-Wu Cui, Wuhan, Hubei, China"		https://ClinicalTrials.gov/show/NCT03887598
107	NCT03887611	Application of Ultrasound Artificial Intelligence and Elastography in Differential Diagnosis of Thyroid Nodules		Recruiting	No Results Available	Thyroid Nodule			Device: Ultrasound diagnosis	Benign or malignant lesions as determined by pathology|Elastic ratio	"Xin-Wu Cui|Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Wuhan Hospital of Traditional Chinese and Western Medicine|Macheng People's Hospital|Huangshi Central Hospital|Affiliated Hospital of Jiangsu University|The First People's Hospital of Yichang|The Second People's Hospital of Yichang|Xiangyang Central Hospital|the Second Affiliated Hospital of Anhui Medical University|Anqing People's Hospital|Huainan People's Hospital|Taizhou Hospital|Wenzhou Central Hospital|Xuzhou First People's Hospital|The Central Hospital of Lishui City|Huai'an First People's Hospital|WISCO General Hospital|Jiangxia District First People's Hospital|Enshi State Central Hospital|Lianyungang Third People's Hospital|Xiangyang First People's Hospital|Tongji Hospital"	All	"18 Years and older   (Adult, Older Adult)"		2000	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	2019(S074)	"January 18, 2019"	18-Jan-20	18-Mar-20	25-Mar-19		26-Mar-19	"Xin-Wu Cui, Wuhan, Hubei, China"		https://ClinicalTrials.gov/show/NCT03887611
108	NCT04036903	D-Lung: An Analytics Platform for Lung Cancer Based on Deep Learning Technology		Recruiting	No Results Available	Lung Cancer			Radiation: computed tomography	accuracy|sensitivity|specificity|area under curve (AUC)|average number of false positives per scan (FPs/scan)|competition performance metric (CPM)	"Chinese University of Hong Kong|Department of Computer Science & Engineering, CUHK"	All	"Child, Adult, Older Adult"		500	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	2019.316	"August 16, 2019"	20-Jun	21-Dec	30-Jul-19		23-Oct-19	"The Chinese University of Hong Kong, Prince of Wale Hospital, Hong Kong, Shatin, Hong Kong"		https://ClinicalTrials.gov/show/NCT04036903
109	NCT03397524	Tailored Drug Titration Through Artificial Intelligence	ARTERY	Withdrawn	No Results Available	Hypertension		Cardiovascular	Other: optima4BP	Reduction in systolic BP [SBP] (mmHg) measure in the office|Reduction in systolic BP [SBP] (mmHg) measure remotely [home monitoring]|Incidence of Adverse Events	"Optima Integrated Health|University of California, San Francisco"	All	"21 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	0	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	17-21426	"October 1, 2018"	31-Dec-19	31-Mar-20	12-Jan-18		20-Sep-19	"University of California San Francisco, San Francisco, California, United States"		https://ClinicalTrials.gov/show/NCT03397524
110	NCT02801877	IntelliCare Study: Artificial Intelligence in a Mobile (AIM) Intervention for Depression	AIM	Completed	Has Results	Depression|Anxiety			Behavioral: IntelliCare|Behavioral: Hub App with the Recommender System|Behavioral: Coaching	Adherence to the Mobile Application Intervention|Depression Severity|Anxiety Severity	Northwestern University	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	301	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R01MH100482-01-RCTIC|R01MH100482-01	"July 1, 2016"	18-Jan	18-Jan	16-Jun-16	31-May-19	31-May-19	"Northwestern University, Chicago, Illinois, United States"	"Study Protocol and Statistical Analysis Plan, https://ClinicalTrials.gov/ProvidedDocs/77/NCT02801877/Prot_SAP_000.pdf"	https://ClinicalTrials.gov/show/NCT02801877
111	NCT03872102	Estimating Progression Rate and Distinguishing Parkinsonian Syndromes Using Imaging and Deep Learning		"Active, not recruiting"	No Results Available	Parkinson Disease|Multiple System Atrophy|Progressive Supranuclear Palsy				"Change from baseline in MDS-UPDRS score at 24 months.|Change from baseline in Unified Multiple System Atrophy Rating Scale (UMSARS) score at 24 months.|Change from baseline in Progressive Supranuclear Palsy Rating Scale (PSPRS) score at 24 months|Change levodopa equivalent daily dose (LEDD) from baseline at 24 months|Parkinson disease questionnaire, 39 item|Montreal Cognitive Assessment|Schwab and England Activities of Daily Living Scale"	University of Texas Southwestern Medical Center	All	"Child, Adult, Older Adult"		90	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Bioinformatics Study	"March 28, 2019"	21-Mar	21-May	13-Mar-19		27-Jun-19	"UT Southwestern Medical Center, Dallas, Texas, United States"		https://ClinicalTrials.gov/show/NCT03872102
112	NCT02599259	Using Artificial Intelligence to Measure and Optimize Adherence in Patients on Anticoagulation Therapy.		Completed	No Results Available	Stroke			Device: Monitored (M+)	"To evaluate acceptability and likability of the platform to patients and providers in providing real-time adherence monitoring.|Improved self-efficacy rates as measured by the SEAMS and BMQ questionnaires, administered at baseline and at the end of the study.|Optimized treatment models based on regular monitoring of INR in desired target range of 2 - 3 and DRVVT in combination with real-time adherence data from the Automated DOT® platform|Optimized treatment models based on regular monitoring of INR and DRVVT in combination with real-time adherence data from the Automated DOT® platform.|Evaluate acceptability and utility through qualitative questionnaires."	AiCure|Montefiore Medical Center	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	28	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AI-007.2	"March 1, 2015"	16-Apr	16-Apr	6-Nov-15		12-Jul-16	"Montefiore Medical Center, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT02599259
113	NCT04242108	Diagnostic Performance of Deep Learning for Angle Closre		Recruiting	No Results Available	Angle Closure Glaucoma			Diagnostic Test: Deep learning algorithm based on AS-OCT	Area under curve (AUC)|Sensitivity and specificity	Sun Yat-sen University	All	"18 Years and older   (Adult, Older Adult)"		10000	Other	Observational	Observational Model: Other|Time Perspective: Retrospective	2018KYPJ074	"January 15, 2020"	20-Jun	20-Dec	27-Jan-20		29-Jan-20	"Zhongshan Ophthalmic Center, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04242108
114	NCT02176226	IntelliCare: Artificial Intelligence in a Mobile Intervention for Depression and Anxiety (AIM)		Completed	Has Results	Major Depressive Disorder|Anxiety Disorders			Behavioral: IntelliCare	Patient Health Questionnaire - 9 (PHQ-9) - Depression Severity Module|GAD-7 (Generalized Anxiety Disorder Scale-7)|Mean Number of Treatment App Use Sessions by Study Week	Northwestern University	All	"19 Years and older   (Adult, Older Adult)"	Not Applicable	105	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R01MH100482-01FTIC	"March 1, 2015"	16-Jun	16-Jun	27-Jun-14	29-Oct-18	29-Oct-18	"Northwestern University, Chicago, Illinois, United States"		https://ClinicalTrials.gov/show/NCT02176226
115	NCT03927066	Physiological Validation of Current Machine Learning Models for Hemodynamic Instability in Humans		Not yet recruiting	No Results Available	Hypotension and Shock			Other: Assigned Interventions	Blood Pressure|Heart rate	Mayo Clinic	All	"18 Years to 90 Years   (Adult, Older Adult)"	Not Applicable	100	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	19-002893	"January 8, 2020"	10-Oct-23	10-Oct-23	25-Apr-19		2-Oct-19	"Mayo Clinic in Rochester, Rochester, Minnesota, United States"		https://ClinicalTrials.gov/show/NCT03927066
116	NCT04189029	"PACIFIC-PRESERVED : PhenomApping, ClassIFication, and Innovation for Cardiac Dysfunction - HF With PRESERVED LVEF Study"		Recruiting	No Results Available	Heart Failure|Heart Failure With Preserved Ejection Fraction		Cardiovascular	Other: Extensive phenotyping	Machine learning algorithm to identify distinct phenotypic subgroups among HFpEF patients|Prognosis|Myocardial stiffness|Sarcopenia and muscular capacity|Exercise tolerance|Cardiac fibrosis|Arterial Stiffness|Right heart and pulmonary circulation|Ventricular-arterial coupling|Omics signature|Quality of life evaluation|Telemonitoring of weight|Telemonitoring of cardiac rythm|Telemonitoring of ECG|Telemonitoring of physical activity|Telemonitoring of blood pressure|Telemonitoring of pulmonary function|Telemonitoring of oxygen saturation|Telemonitoring of pulmonary congestion|Digitalized ECG|Cardiac echography|Cardiac calcium scoring|Cardiac MRI|Left atria	"Assistance Publique - Hôpitaux de Paris|BPIfrance|Sanofi|Institut de Recherches Internationales Servier|Institut National de la Santé Et de la Recherche Médicale, France|BioSerenity|Casis|Firalis SA|Fealinx|Centre National de la Recherche Scientifique, France|ESPCI Paris|University of Paris 5 - Rene Descartes|Sorbonne Université"	All	"18 Years to 90 Years   (Adult, Older Adult)"		2620	Other|Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	APHP190558|2019-A01795-52	"December 9, 2019"	21-Dec	24-Jun	6-Dec-19		21-Jan-20	"AP - HP, Hôpital Européen Georges-Pompidou, Paris, France"		https://ClinicalTrials.gov/show/NCT04189029
117	NCT03851497	Application of Deep-learning and Ultrasound Elastography in Opportunistic Screening of Breast Cancer		Recruiting	No Results Available	Breast Cancer				Benign or malignant lesions as determined by pathology	"Peking Union Medical College Hospital|Peking University Third Hospital|Beijing Hospital|Beijing Chao Yang Hospital|Beijing Zhongguancun Hospital|Peking University Shouyang Hospital|Beijing Aerospace Center Hospital|Beijing Anzhen Community Health Service Center|The First Hospital of Tsinghua University|Sun Yat-sen Hospital, Sun Yat-sen University|The First Affiliated Hospital of Zhengzhou University|Henan Provincial Hospital|Third Affiliated Hospital of Zhengzhou University|Xinxiang Central Hospital|Henan Cancer Hospital|First Hospital of China Medical University|Shengjing Hospital|Liaoning Cancer Hospital & Institute|West China Center of Medical Sciences,Sichuan University|Sichuan Provincial People's Hospital|Yan'an Hospital of Kunming City|Xi'an Central Hospital|Ningxia Medical University|First Hospital of Shijiazhuang City|Chengde Central Hospital|Qinghai Province Cancer Hospital|Gansu Provincial Cancer Hospital|Jiuquan Iron and Steel Hospital|Shanghai Zhongshan Hospital|Ruijin Hospital|The Affiliated Hospital of Qingdao University|Qingdao Centre Hospital|Shandong Jining No.1 People's Hospital|Linyi Cancer Hospital|First Hospital of Shanxi Medical University|The Second Affiliated Hospital of Harbin Medical University|Second Hospital of Jilin University|The Second Hospital of the West Coast New Area of Qingdao|Fudan University|Tongji Hospital|The First Affiliated Hospital with Nanjing Medical University"	Female	"18 Years and older   (Adult, Older Adult)"		2244	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	S-detect 2019	"January 1, 2019"	1-Jan-20	1-Jan-20	22-Feb-19		1-Mar-19	"Peking Union Medical College Hospital, Beijing, Beijing, China"		https://ClinicalTrials.gov/show/NCT03851497
118	NCT03912961	The Santa Cruz Diabetic Retinopathy Utilizing Artificial Intelligence Study	SC-DRAI	Recruiting	No Results Available	Diabetic Retinopathy			Other: Picture of the retina with a handheld retinal camera	Number of subjects where the image readout by retina specialists match the readouts by EyeStar AI system for identifying diabetic eye disease|Number of subjects with gradable images taken by the hand held camera|Number of subjects with ocular diseases other than diabetic retinopathy between the readout by the EyeStar AI system and those by the retina specialists	Retina Global|VisionQuest Biomedical LLC	All	"18 Years and older   (Adult, Older Adult)"		1000	Other|Industry	Observational	Observational Model: Case-Only|Time Perspective: Prospective	2019-BOL-SC-DRAI	"January 21, 2019"	20-Apr-19	19-May	11-Apr-19		11-Apr-19	"Centro Medico Kolping, Santa Cruz de la Sierra, Bolivia|Clinica Incor, Santa Cruz de la Sierra, Bolivia|Hospital Universitario Japones, Santa Cruz de la Sierra, Bolivia"		https://ClinicalTrials.gov/show/NCT03912961
